SITE NAME	LATITUDE	LONGITUDE	YEAR	SPECIES	acorn count	Mean max. April temp (oC x 100)	Mean max. March temp (oC x 100)	March rain (cm x 1000)	April rain (cm x 1000)	March rain lagged 1 yr (cm x 1000)	April rain lagged 1 year (cm x 1000)	Mean max summer temp (oC x 100)	Mean max summer temp lagged 1 yr (oC x 100)	Winter rainfall (cm x 1000)	Winter rainfall lagged 1 yr (cm x 1000)	Mean min winter temp (oC x 100)	Mean max autumn temp (oC x 100)	Mean max March temp lagged 1 yr (oC x 100)	Mean max April temp lagged 1 yr (oC x 100)
HASTINGS	36.387	121.549	1994	Q. douglasii	2.11	1944	1848	2767	7735	7519	1134	2909	2807	45916	105601	-261	2414	1778	1873
HASTINGS	36.387	121.549	1995	Q. douglasii	0.594	1733	1432	43047	4368	2767	7735	2743	2909	84442	45916	21.5	2146	1848	1944
HASTINGS	36.387	121.549	1996	Q. douglasii	3.178	2057	1696	5690	5114	43047	4368	3045	2743	57597	84442	157.75	2641	1432	1733
HASTINGS	36.387	121.549	1997	Q. douglasii	2.262	2089	2029	801	851	5690	5114	2963	3045	68965	57597	146.25	2338	1696	2057
HASTINGS	36.387	121.549	1998	Q. douglasii	1.17	1584	1515	14284	9102	801	851	2620	2963	120141	68965	185.75	2395	2029	2089
HASTINGS	36.387	121.549	1999	Q. douglasii	2.705	1644	1386	12967	7235	14284	9102	2757	2620	45258	120141	-15	2168	1515	1584
HASTINGS	36.387	121.549	2000	Q. douglasii	3.185	2054	1636	7021	4911	12967	7235	2909	2757	61791	45258	164.25	2552	1386	1644
HASTINGS	36.387	121.549	2001	Q. douglasii	0.461	1682	1758	8924	6212	7021	4911	3034	2909	40506	61791	-54	2145	1636	2054
HASTINGS	36.387	121.549	2002	Q. douglasii	2.424	1900	1605	7590	1530	8924	6212	2902	3034	48221	40506	101	2429	1758	1682
HASTINGS	36.387	121.549	2003	Q. douglasii	0.21	1544	1757	4988	9415	7590	1530	2939	2902	54879	48221	165	2392	1605	1900
HASTINGS	36.387	121.549	2004	Q. douglasii	2.999	2220	2207	1923	680	4988	9415	2924	2939	59722	54879	62.75	2463	1757	1544
HASTINGS	36.387	121.549	2005	Q. douglasii	0.808	1817	1685	16355	6001	1923	680	2901	2924	66053	59722	129.75	2193	2207	2220
HASTINGS	36.387	121.549	2006	Q. douglasii	2.122	1445	940	17852	14203	16355	6001	2698	2901	54327	66053	143.5	2373	1685	1817
HASTINGS	36.387	121.549	2007	Q. douglasii	3.104	1834	1892	1987	3100	17852	14203	2642	2698	29540	54327	270.75	2170	940	1445
HASTINGS	36.387	121.549	2008	Q. douglasii	1.659	1831	1566	310	542	1987	3100	2708	2642	49129	29540	265.5	2128	1892	1834
HASTINGS	36.387	121.549	2009	Q. douglasii	2.716	1748	1438	10489	1031	310	542	2645	2708	35542	49129	412.75	2329	1566	1831
HASTINGS	36.387	121.549	2010	Q. douglasii	1.439	1436	1419	5493	10776	10489	1031	2461	2645	47852	35542	393	2168	1438	1748
