"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"HASTINGS",1994,"Q. douglasii",2.11,1944,1848,2767,7735,7519,1134,2909
"HASTINGS",1995,"Q. douglasii",0.594,1733,1432,43047,4368,2767,7735,2743
"HASTINGS",1996,"Q. douglasii",3.178,2057,1696,5690,5114,43047,4368,3045
"HASTINGS",1997,"Q. douglasii",2.262,2089,2029,801,851,5690,5114,2963
"HASTINGS",1998,"Q. douglasii",1.17,1584,1515,14284,9102,801,851,2620
"HASTINGS",1999,"Q. douglasii",2.705,1644,1386,12967,7235,14284,9102,2757
"HASTINGS",2000,"Q. douglasii",3.185,2054,1636,7021,4911,12967,7235,2909
"HASTINGS",2001,"Q. douglasii",0.461,1682,1758,8924,6212,7021,4911,3034
"HASTINGS",2002,"Q. douglasii",2.424,1900,1605,7590,1530,8924,6212,2902
"HASTINGS",2003,"Q. douglasii",0.21,1544,1757,4988,9415,7590,1530,2939
"HASTINGS",2004,"Q. douglasii",2.999,2220,2207,1923,680,4988,9415,2924
"HASTINGS",2005,"Q. douglasii",0.808,1817,1685,16355,6001,1923,680,2901
"HASTINGS",2006,"Q. douglasii",2.122,1445,940,17852,14203,16355,6001,2698
"HASTINGS",2007,"Q. douglasii",3.104,1834,1892,1987,3100,17852,14203,2642
"HASTINGS",2008,"Q. douglasii",1.659,1831,1566,310,542,1987,3100,2708
"HASTINGS",2009,"Q. douglasii",2.716,1748,1438,10489,1031,310,542,2645
"HASTINGS",2010,"Q. douglasii",1.439,1436,1419,5493,10776,10489,1031,2461
"HASTINGS",2011,"Q. douglasii",2.875,1550,1243,20089,962,5493,10776,2394
"HASTINGS",1994,"Q. lobata",2.68,1944,1848,2767,7735,7519,1134,2909
"HASTINGS",1995,"Q. lobata",0.383,1733,1432,43047,4368,2767,7735,2743
"HASTINGS",1996,"Q. lobata",2.153,2057,1696,5690,5114,43047,4368,3045
"HASTINGS",1997,"Q. lobata",2.157,2089,2029,801,851,5690,5114,2963
"HASTINGS",1998,"Q. lobata",0.984,1584,1515,14284,9102,801,851,2620
"HASTINGS",1999,"Q. lobata",1.559,1644,1386,12967,7235,14284,9102,2757
"HASTINGS",2000,"Q. lobata",3.536,2054,1636,7021,4911,12967,7235,2909
"HASTINGS",2001,"Q. lobata",0.78,1682,1758,8924,6212,7021,4911,3034
"HASTINGS",2002,"Q. lobata",2.889,1900,1605,7590,1530,8924,6212,2902
"HASTINGS",2003,"Q. lobata",0.134,1544,1757,4988,9415,7590,1530,2939
"HASTINGS",2004,"Q. lobata",3.051,2220,2207,1923,680,4988,9415,2924
"HASTINGS",2005,"Q. lobata",0.6,1817,1685,16355,6001,1923,680,2901
"HASTINGS",2006,"Q. lobata",1.301,1445,940,17852,14203,16355,6001,2698
"HASTINGS",2007,"Q. lobata",3.573,1834,1892,1987,3100,17852,14203,2642
"HASTINGS",2008,"Q. lobata",1.369,1831,1566,310,542,1987,3100,2708
"HASTINGS",2009,"Q. lobata",3.208,1748,1438,10489,1031,310,542,2645
"HASTINGS",2010,"Q. lobata",1.286,1436,1419,5493,10776,10489,1031,2461
"HASTINGS",2011,"Q. lobata",2.507,1550,1243,20089,962,5493,10776,2394
"JASPER RIDGE",1994,"Q. douglasii",1.461,2152,2157,1378,4364,7029,2383,2707
